,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
170,Cherry Picking/Packing,819,45 South Cherries,"Cromwell, New Zealand",2022-08-23,Stonefruit (including Cherries),Expressions of Interest,100,2022-12-10,2023-02-03,22,"Accommodation, Transport, Bucket/bin rate bonuses, End of season bonuses, Free Wifi","The Cromwell cherry harvest starts in early December and continues to the end of January. 45 South Cherries is looking for keen, motivated orchard workers to help us pick and pack our famous cherries for happy customers all across the globe. Pickers are paid per hour with a production bonus incentive offered, so the more […]"
171,Packhouse Staff,333,Leaning Rock Cherries Ltd,"Rockview Road, Alexandra, New Zealand",2022-08-23,Stonefruit (including Cherries),Expressions of Interest,40,2022-12-01,2023-01-31,$22.90,"Accommodation, Flexi rosters, Free Wifi","Staff required for busy Cherry Packhouse. Variety of jobs available including box making, sorting cherries, coolstore work, packing and palletizing produce. Season runs from December 2022 through to end of January 2023. If you enjoy meeting new people and working in a friendly environment then we are the place for you. Bring your mates along […]"
172,Cherry Pickers,405,Leaning Rock Cherries Ltd,"Rockview Road, Alexandra, New Zealand",2022-08-23,Stonefruit (including Cherries),Expressions of Interest,150,2022-12-01,2023-01-31,$22.90,"Accommodation, Bucket/bin rate bonuses, Free Wifi","Cherry Picking work available from December 2022 through to the end of January 2023. Grab some friends, have some fun in the sun all while you earn some good money in our beautiful part of NZ. Bonuses available 🙂 Camping ground available 5km from Alexandra"
173,Vineyard work,480,Grape Vision Ltd,"Cromwell, New Zealand",2022-08-21,Winegrowing,Need Staff Now,15,2022-08-29,2022-10-31,$22.00,Transport,Vineyard work available around the town of Cromwell. Help with transport and finding accommodation. $22.00 an hour. Work can be ongoing through to December with the opportunity to transition into cherries.   Contact tim@grapevision.co.nz
174,Cherry Pickers,462,Stuleen Orchard,"Blenheim, New Zealand",2022-08-21,Stonefruit (including Cherries),Expressions of Interest,30,2022-12-01,2022-12-24,21.20,Accommodation,Cherry Pickers starting approx 1 December. Paid by the Kilo. Parking space for self contain vans or campers.
175,Tractor Driver Positions,153,Parkburn Management Ltd,"Cromwell, New Zealand",2022-08-18,Stonefruit (including Cherries),Need Staff Now,2,2022-08-29,2023-08-29,$27.50 - $30.50,,"Tractor Driver Positions Pay rate: $27.50 – $30.50 depending on experience. Cromwell, Otago   Parkburn Management is a grower cooperative specialising in cherries. We are a tight knit team with 10 Cromwell based orchards under our management. We are looking for 2 tractor drivers to join our team on the orchards assisting with seasonal orchard […]"
176,Spring Orchard Pruners,302,Parkburn Management Ltd,"Cromwell, New Zealand",2022-08-18,Stonefruit (including Cherries),Need Staff Now,8,2022-08-24,2022-10-28,$24.00 per hour,eyI1MzQxNDkxODA3IjoiRG8geW91IGhhdmUgY3VycmVudCB3b3JrIHJpZ2h0cyBpbiBOZXcgWmVhbGFuZCAoaS5lLiBhIHZhbGlkIHdvcmsgdmlzYSk/IiwiNDM2OTAyOTk5MyI6IkRvIHlvdSBoYXZlIGFjY2VzcyB0byB0cmFuc3BvcnQ/In0=,"Spring Cherry Pruning – 8 Positions Available We are looking for reliable, fit people to join our pruning crew at our orchards around Cromwell. Work starts ASAP, for approximately 2 months. Variable fixed-term contracts offered, with the option to extend into the harvest season if desired. . Usually, an 8am Start with a 4:30pm finish, however work is […]"
177,Apple Packhouse is looking for fixed-term team members with an immediate start!!,513,Heartland Fruit,"79 Beach Road, Richmond, New Zealand",2022-08-17,Apples and Pears,Need Staff Now,5,2022-08-22,2023-01-31,21.20,"Free Wifi, Social club / staff events","This is a fixed-term position with an immediate start till the end of January 2023. However, there is a possibility of leading to the permanent position!! Heartland Group is a successful post-harvest business based in the Nelson/Tasman area, which packs and stores apples for both local and international markets. Located in Richmond, Nelson, walking distance […]"
178,Expressions of Interest,368,Hortinvest Management Ltd,"Wanaka, New Zealand",2022-08-16,Stonefruit (including Cherries),Expressions of Interest,25,2022-08-22,2022-08-19,23.20,,"Hortinvest Management Ltd is a horticultural management company based in the Central Otago region. We are developing and managing 245 hectares of summer fruit Orchards (cherry and apricot) from Cromwell to Tarras, producing premium fruit for international markets. Our Purpose: Something Extraordinary Everyone Aspires To. Our Values:    Good Place To Be, Keep It Real, Grow the […]"
179,Casual Fixed Term Contracts,376,Southern Paprika Ltd,"Warkworth, New Zealand",2022-08-15,Vegetables,Expressions of Interest,5,2022-07-18,2023-01-20,$22.50,,Southern Paprika is a Recognized Seasonal Employer looking for energetic individuals to join our team in our new avocado packhouse. The Company  Southern Paprika Limited (SPL) is a leading New Zealand capsicum grower located in Warkworth and we currently operate 27 hectares of glasshouse with plans for expansion. We are excited to announce that we […]
180,Experienced Orchardist - Key Machinery Operator,86,Apatu Farms Limited,"Hawkes Bay, New Zealand",2022-08-15,Apples and Pears,Need Staff Soon,1,2022-09-19,2024-08-25,Competitive hourly rate dependent on experience,,"Permanent opportunity Apatu Farms is a leading, family-owned, Hawkes Bay agribusiness focused on growing quality produce for local and global customers. Our operations here in the Bay are very diverse, growing, transporting and exporting a variety of fruit and vegetables. We have a permanent opportunity for an experienced orchardist to join our Pipfruit Division which […]"
181,Orchard Foreman,126,Apatu Farms Limited,"Hawkes Bay, New Zealand",2022-08-15,Stonefruit (including Cherries),Expressions of Interest,1,2022-09-12,2024-08-25,Competitive hourly rate dependent on experience,,"Permanent Opportunity Apatu Farms is a leading, family-owned, Hawkes Bay agribusiness focused on growing quality produce for local and global customers. Our operations here in the Bay are very diverse, growing, transporting and exporting a variety of fruit and vegetables. As a result of recent growth in our Pipfruit division we have an opportunity for […]"
182,MACHINERY/TRUCK OPERATOR,108,Kiwifruit Investments 2001 Limited,"Te Puke, New Zealand",2022-08-15,Other,Need Staff Now,1,2022-08-15,2022-11-15,TBA,Flexi rosters,We are looking for an experienced truck/tractor driver to join our fertiliser spreading team.  This will be for a 3 month fixed term but could be extended. The applicant must: Have a clean Class 4 Licence Be able to pass a drug test. Be able to work flexible hours – some weekend work may be […]
183,Horticulture Workers,471,JR's Orchards Limited,"78 Gregs Lane, Papawai, Greytown 5794, Greytown, New Zealand",2022-08-14,Apples and Pears,Need Staff Now,4,2022-08-29,2022-12-22,22.10,Social club / staff events,"We are looking for enthusiastic and motivated staff to become part of the JR’s Orchards team. We have fixed-term and permanent positions available on our Papawai block, just a 3-minute drive from Greytown. If you would like more information, please contact Jamiee on 0274 154 556 or email your CVs to jrs@jrs.co.nz"
184,Avocado Picking and Orchard Work,1030,Sonia and Philip Elliot,"Cemetery Road, Maunu, Whangarei, Whangarei, New Zealand",2022-08-14,Other,Need Staff Soon,1,2022-09-05,2022-11-18,$17.00 per hour,"Accommodation, Flexi rosters, Free Wifi","Do you enjoy working outside? The avocado season will start soon and we are looking for 1 Picker or a couple.  Between the dates of approximately 5th of September – 9 December. The hourly rate starts from $17.00 per hour, plus accommodation. Approximately 2 months of work. Pick on fine days and other work on […]"
185,Kiwifruit Packers & Stackers,954,EastPack Limited,"Tauranga, New Zealand",2022-08-11,Kiwifruit,Need Staff Now,70,2022-08-15,2022-10-31,$24.00 minimum rate + 8% holiday pay,Social club / staff events,"Work with us this repack season! We are looking for Packers and Stackers to boost our repack teams in Te Puke and Katikati. You will need to be reliable and have a great attitude – and in return we will provide you with full training. You’ll earn $22.75 minimum per hour, plus $1.25 per hour […]"
186,Citrus Picker general orchard worker,459,Hemyock Orchards Ltd,"Gisborne, New Zealand",2022-08-11,Citrus,Need Staff Now,2,2022-08-15,2022-12-23,$23/hour,,"We are looking for 2 people to work in our large citrus orchard picking and pruning. we offer a 40 hour week Monday to Friday, paying weekly by hourly rate. We work all weather, rain and shine and provide wet weather gear as well as all picking and pruning equipment required for the job. we […]"
187,Seasonal Tractor Driver,164,Vinewise Viticulture Ltd,"Cromwell, New Zealand",2022-08-11,Winegrowing,Expressions of Interest,5,2022-10-01,2023-04-30,23,,"Experienced Vineyard Tractor Driver needed for Spring/Summer. You will have at least two years vineyard machinery experience in a vineyard setting, ideally spraying. You must have a full drivers license and ideally a Growsafe Certificate. Work is based in and around Cromwell, Central Otago. Hours can be full time or part time. Competitive payrates, depending […]"
188,Seasonal Vineyard Workers in Central Otago,496,Vinewise Viticulture Ltd,"Cromwell, New Zealand",2022-08-11,Winegrowing,Need Staff Now,10,2022-08-15,2022-09-30,22,,Vineyard Winter Pruning Work available NOW! Working on various vineyards in stunning Central Otago. No experience needed – just moderate fitness. Piecework available.    
189,Hop Planting,382,Battery Hill Hops,"Tapawera, New Zealand",2022-08-10,Other,Need Staff Soon,5,2022-09-01,2022-09-30,$23.85,Accommodation,"We are currently developing a dairy farm into a new hop farm and will be planting this seasons hops in September. Its an enjoyable part of our year putting the new season and hop varieties in the ground with tractors for the 2023 harvest. We have close to 200,000 plants to put in the ground […]"
190,Hop Stringing - Contract Rates,238,Battery Hill Hops,"Tapawera, New Zealand",2022-08-10,Other,Need Staff Soon,10,2022-08-29,2022-10-21,$23.85 to $40 per hour,"Accommodation, Bucket/bin rate bonuses",Each year we cut down our hops at harvest and then need to restring our gardens for the new season hops to grow 5m back up the strings. The work consists of working in a small team working around a tractor to firmly tie two ends of the hop string to the top wire and […]
191,Kiwifruit Bud Thinning,597,Rod Fry Ltd,"Motueka, New Zealand",2022-08-10,Kiwifruit,Need Staff Soon,30,2022-10-17,2022-12-19,$22.10 + Great bonus rate,"Accommodation, Transport, Bucket/bin rate bonuses","Rod Fry Ltd is based in the beautiful Nelson Tasman region, we are 7 minutes’ drive from Motueka township and 10 a minute drive from the world-famous golden sands of Kaiteriteri Rod Fry Ltd is seeking positive and energetic people to join our friendly family run orchard in Motueka for kiwifruit bud thinning, with the possibility […]"
192,Orchard Workers - Fixed term/Casual/Permanent,447,Bayley Produce Limited,"58 Jarvis Road Twyford Hastings, Hastings, New Zealand",2022-08-10,Stonefruit (including Cherries),Need Staff Now,12,2022-08-16,2023-02-28,21.50,,We at Bayley Produce Limited have a variety of positions available on our orchards and later in the year in our pack house. We currently require staff to assist with flower thinning on our summer fruit trees. This involves removing some blossom flowers from the trees to make fruit thinning easier later on. We also […]
193,Permanent Spray Operator Orchard Hand - Gisborne,107,Craigmore,"86 Cooper Road Patutahi, Gisborne, New Zealand",2022-08-09,Apples and Pears,Need Staff Now,1,2022-08-10,2022-09-30,$23.00 - $30.00,,"We are searching for a Spray Operator/Orchard Hand who will be charged with spraying the crops, understanding weather patterns, safety protocols and compliance around spraying, and agrichemical use. Other duties required to be carried out such as mowing, weed spraying, repair and maintenance, property maintenance and tree husbandry work. This is a safety sensitive role. […]"
194,Permanent Foreperson - Apples,129,Craigmore,"86 Cooper Road Patutahi, Gisborne, New Zealand",2022-08-09,Apples and Pears,Need Staff Now,1,2022-08-09,2022-09-30,$25 to $35,,"Working closely with the management team, the Foreperson is charged with taking the weekly plans and implementing them to the quality outlined, and to make ongoing adjustments to maintain the quality and efficiency of in-field operations, in addition to directing the spraying teams. This is a safety sensitive role. Competencies required to be successful include: […]"
195,Permanent Leading Hand - Apples,84,Craigmore,"86 Cooper Road Patutahi, Gisborne, New Zealand",2022-08-09,Apples and Pears,Need Staff Now,1,2022-08-09,2022-09-30,$25 - $30,,"We are searching for a Leading Hand who is competent in all aspects of in-field operations including pest and disease, staff supervision, record keeping, harvest and machinery tasks. They will cover in house training, induction of teams, running of teams and general orchard practice leadership. This role will require general knowledge of all growing aspects […]"
196,Permanent Spray Operator Orchard Hand - Central Hawkes Bay,68,Craigmore,"940 Wakarara Road Ongaonga Central Hawkes Bay, Hawkes Bay - Hastings, New Zealand",2022-08-09,Apples and Pears,Need Staff Now,1,2022-08-09,2022-09-30,$23.00 - $30.00,,"We are searching for a Spray Operator/Orchard Hand who will be charged with spraying the crops, understanding weather patterns, safety protocols and compliance around spraying, and agrichemical use. Other duties required to be carried out such as mowing, weed spraying, repair and maintenance, property maintenance and tree husbandry work. This is a safety sensitive role. […]"
197,Horticulture & Viticulture Workers,283,Thompson's Horticulture Ltd,"598 State Highway 2, Opotiki,3198, Gisborne & Opotiki, New Zealand",2022-08-09,Kiwifruit,Need Staff Now,30,2022-08-09,2022-11-30,22.00,"Transport, Bucket/bin rate bonuses","We are looking for Horticulture & Viticulture workers to join the THL Team. We have casual, fixed term and permanent positions available in both Opotiki and Gisborne. If you would like to know more please contact us by phone on 07 315 48258 or apply online at www.thompsonsltd.co.nz"
198,Vineyard Pruners,270,Flowerday Contracting Ltd,"Blenheim, New Zealand",2022-08-09,Winegrowing,Need Staff Now,10,2022-08-09,2022-09-16,$21.20 per hour minimum - contract rates apply,,We are a vineyard contracting company supplying Marlborough vineyards with labour and machinery services.  We are looking for pruners for the current pruning season which runs from June to September.  Training will be given.  Payment is based on a contract per plant basis.
199,Winter Pruning,320,Farmhands,"Waikari, New Zealand",2022-08-08,Winegrowing,Need Staff Now,4,2022-08-09,2022-09-02,$22,,"Looking for outdoor, physical work? Do you need work for a month? Want to start work tomorrow? Apply online here: https://forms.gle/2RTFoiJe7BNTWxzu9 We have grape pruning and tying work available. This work is very physical. Our vineyard is on a hill. There is lots of walking involved. We will help organise accommodation as required. ASAP Start! […]"
200,Pruners and planters wanted,417,Foley Wines Limited,"57 Princess Street, Martinborough, New Zealand",2022-08-08,Winegrowing,Need Staff Now,15,2022-08-15,2022-09-30,22.90,"Accommodation, Transport, Social club / staff events","We have the need for a small team 10-15 people to help finish the last of our winter pruning season and then make a start on replanting 33,000 vines at a block 16km from Martinborough."
201,Seeking joint ATR partners,312,Southern Cross Horticulture,"Pyes Pa, New Zealand",2022-08-05,Kiwifruit,RSE (Members Only),80,2022-10-03,2023-07-29,$22.10 - $45,"Accommodation, Transport, Bucket/bin rate bonuses, Free Wifi, Social club / staff events","We are looking for joint ATR partners who have extra workers to support us during these busy periods: October – December March – May June – July We are located in Bay of Plenty and have our own new built accommodation. Please contact Michaela – michaela@schort.co.nz, 020 4153 4237"
202,Orchard Supervisor - Kiwifruit,198,Bay Kiwifruit Contracting,"Te Puke, New Zealand",2022-08-04,Kiwifruit,Need Staff Now,2,2022-08-05,2023-08-05,$29,,7 day a week operation. Continuous year-round work. Minimum of 2 years supervising experience with references. Te Puke and surrounds based. Competitive Rates based on experience. Join a reputable company that looks after their staff. Call Lewis on 02040223319 or email admin@bkc.nz
203,Orchard Workers Required Now!,599,Bay Kiwifruit Contracting,"Te Puke, New Zealand",2022-08-04,Kiwifruit,Need Staff Now,5,2022-08-05,2022-12-23,$22.10,,Come work for a reputable company and learn about the kiwifruit industry! Monday to Friday 8am – 4:30pm and occasionally weekend. Work in Te Puke area. Casual contract with ongoing full time roles for suitable candidates.. Please contact Lewis on admin@bkc.nz or 02040223319
204,Picker/packer,717,Windermere Berry Farm,"313 SH3, Whanganui, New Zealand",2022-08-03,Berries,Need Staff Soon,8,2022-10-10,2022-12-24,21.2,Bucket/bin rate bonuses,"Work at an iconic Whanganui berry farm, doing pick to punnet primarily in strawberries and raspberries with no ground fruit. Experienced, or regular employees will often also be taught pruning, and other farm jobs. Jobs are available starting from early October able to start as late as the end of November. People are expected to […]"
205,Picker/packer,417,Windermere Berry Farm,"313 SH3, Whanganui, New Zealand",2022-08-03,Berries,Need Staff Soon,8,2022-10-10,2023-05-12,21.2,Bucket/bin rate bonuses,"Work at an iconic Whanganui berry farm, doing pick to punnet primarily in strawberries and raspberries with no ground fruit. Experienced, or regular employees will often also be taught pruning, and other farm jobs. Jobs are available starting from early October able to start as late as the end of November. People are expected to […]"
206,Kiwifruit Workers Required (Planting/Stringing),494,Pro Kiwi Limited,"Te Puke / Paengaroa, Bay of Plenty, New Zealand",2022-08-03,Kiwifruit,Need Staff Now,20,2022-08-03,2022-10-31,24.50,"Accommodation, Flexi rosters",Kiwifruit orchard work (stringing/planting) Pro Kiwi are now on the hunt for some people to join the team for the next phase of preparation. We are working to make it much easier for both you and us to get you employed and into work so please follow the application instructions below. DO NOT apply through the ‘Apply […]
207,Hops - Piece Rate - Stringing Team,405,Nelson Hops NZ Limited,"65 Korere, Tapawera, New Zealand",2022-08-03,Other,Need Staff Now,10,2022-08-08,2022-09-20,$25-$40,"Accommodation, Transport, Free Wifi","Lucrative piece rate work, all in the name of beer. The stringing team is in charge of tying the strings around the bottom hook and top wire which the hops will eventually grow up in the spring/summer time. Full training is provided to all team members and pay is based on contract piece rate so […]"
208,Avocado pickers,781,Aongatete Avocados ltd,"Katikati, New Zealand",2022-08-03,Stonefruit (including Cherries),Need Staff Soon,6,2022-09-15,2023-02-01,$21.20 plus hols,End of season bonuses,"AAL is looking for  pickers for the upcoming Avocado harvest. You must be in NZ with a current work visa. You will be trained to harvest on hydraladas (elevated work platforms) The work is generally 6 days per week depending on weather and normally fridays off. You will need to be drug free, good with […]"
209,Seeking Joint ATR RSE Oct - Dec 2022 any number,265,Baygold Limited,"Paengaroa, New Zealand",2022-08-01,Kiwifruit,RSE (Members Only),70,2022-10-01,2022-12-22,22.10,"Accommodation, Transport, Free Wifi",Needing RSE to help with Spring/ Summer work in the Kiwifruit Orchards
210,Machinery Operator,122,kaiaponi farms LTD,"gisborne, New Zealand",2022-08-01,Apples and Pears,Need Staff Now,1,2022-08-15,2022-12-31,Pay rate will vary dependent on level of experience.,,"Kaiaponi Farms is a horticultural operation focused on delivering market leading fruit to our customers. We grow apples, citrus, feijoas and kiwifruit on 180 ha of land in Gisborne. This role is for an Orchard Machinery Operator, like all positions at Kaiaponi, ensure we produce the highest standard of fruit possible. The attributes of the […]"
211,Summer Work,425,Papamoa Horticulture Limited,"Te Puke, New Zealand",2022-08-01,Kiwifruit,RSE (Members Only),20,2022-10-10,2023-01-10,$22.10,"Transport, Free Wifi","Work will include bud thinning, tipping, cane training, male pruning and fruit thinning."
212,Vineyard Harvest Roles,627,Craggy Range Vineyards Ltd.,"Martinborough, New Zealand",2022-07-31,Winegrowing,Need Staff Soon,10,2023-02-01,2023-04-21,21.20 - 23,,"Craggy Range has an enviable reputation for quality, innovation and positioning in the New Zealand and Global wine market. Our ambition is to make world-class wines from a range of specially selected vineyards throughout the country. We are looking for seasonal Vineyard Workers to join our team in Martinborough over our harvest period.  This role […]"
213,Prunning,394,Kaitere Limited,"82 Tansley Road Rd2 Gisborne, Gisborne, New Zealand",2022-07-28,Winegrowing,Need Staff Now,10,2022-07-29,2022-09-08,23,"Accommodation, Transport, Bucket/bin rate bonuses, Free Wifi","We are based in the sunny Gisborne Region Currently pruning grapes and apples competitive rates, accomadation available. email admin@dwbraiant.co.nz"
214,Orchard work,560,NZ NEW EMPEROR LTD,"Hastings, New Zealand",2022-07-28,Apples and Pears,Need Staff Now,20,2022-08-01,2022-12-16,22,"Transport, Flexi rosters","Looking for reliable staff to join our Horticulture teams Flexibility available full time school hours Apple pruners experience advantageous training will be given if new Apple development planting post and wire irrigation If you are looking for a solid yet fun working environment, with a great attitude, we would love to have you as part […]"
215,Permanent Orchard Assistant,249,Wai-West Horticulture Ltd,"53 Moutere Highway, APPLEBY, New Zealand",2022-07-28,Apples and Pears,Need Staff Now,2,2022-07-28,2022-09-30,$23.50,Social club / staff events,"Whether you are an experienced Orchard Hand, or are considering a career change, Wai-West Horticulture is seeking motivated, enthusiastic staff to join our Orchard teams in either Kiwifruit or Apples. Wai-West Horticulture is a large, well established horticultural operation with a focus on growing superior quality apples, kiwifruit, feijoa and boysenberries on the Waimea Plains […]"
216,Horticulture Job $26/hour,761,Farmhands,"Ashburton, New Zealand",2022-07-26,Other,Need Staff Now,5,2022-07-27,2022-08-10,26,,Are you a fit person who likes physical work? We have full-time Horticulture jobs available in Rakaia! No experience required! Apply Here: https://forms.gle/2RTFoiJe7BNTWxzu9  $26 an hour + 8% holiday pay ($28 in total) Mon – Fri. 6 am-3 pm Work close to Rakaia Approx. 2 weeks contract You must be fit and be able to lift 20KG comfortably. […]
217,Copywriter,394,BetPokies,"615a Mount Eden Road, Auckland, New Zealand",2022-07-26,Stonefruit (including Cherries),Need Staff Soon,1,2022-07-26,2023-07-31,"$1,500 per month",Flexi rosters,"BetPokies is looking for a responsible and qualified copywriter. We are a young company that reviews casinos in Australia and New Zealand. We need someone who will write texts in the gaming industry. We are all doing a good thing – helping players not to spend money, and play only for fun on no deposit […]"
218,Hop planting,397,Pikimai Hops,"96 Newport Road, Wakefield 7096, TAPAWERA, New Zealand",2022-07-26,Other,Need Staff Soon,8,2022-09-12,2022-10-17,$21.20-  $24.00 per hour,"Accommodation, Free Wifi",Planting from mid September until approx mid October. We will provide the necessary training. No charge for accommodation. Starlink internet. WhatsApp 027 326 5139
219,Horticultural Labourer,527,Landstaff Ltd,"Napier, New Zealand",2022-07-25,Apples and Pears,Expressions of Interest,20,2022-08-01,2023-07-31,$21.20-$22.75,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters",Please note all applicants should be a New Zealand Resident or Citizen or have a valid work visa in place. Please request if you require an English version of this ad. Thank you. Konekarate mo Galuega Fa’atoaga AUAI MAI I LĀ TATOU KAMUPANĪ! E saunia e le Landstaff konekarate faigaluega mo galuega fa’atoaga mo le […]
220,Kiwifruit Planting Team Members Needed,390,Olivers Horticulture,"Te Puke, New Zealand",2022-07-25,Kiwifruit,Need Staff Now,5,2022-08-01,2022-08-31,$23.65,Flexi rosters,"We are looking for some people to give us a hand planting young kiwifruit & shelter plants in our development blocks. Blocks around Paengaroa and also Te Puke. Starting 1 August, Must be physically fit. Weather dependent. All training provided Pay Rate: $23.65 + 8% Holiday Pay. Monday – Friday 8:30 – 5pm. (Hours can […]"
221,APPLE PRUNERS REQUIRED,315,Willisbrook Orchards,"Brightwater, New Zealand",2022-07-25,Apples and Pears,Need Staff Now,2,2022-08-01,2022-09-16,21.20,,"Willisbrook Orchards, in Brightwater, is looking for staff to assist our friendly team with Apple pruning work.   This work is for a start asap and will run until mid September.  More work may be available thinning after completion of pruning which runs up until Christmas. Your own transportation is required as we are not close to […]"
222,Seeking staff Nov - Jan 23,399,Western Orchards Ltd,"29 Matahui Road R D 4, Katikati, New Zealand",2022-07-24,Kiwifruit,Expressions of Interest,10,2022-11-01,2023-01-31,$22.75,,We are looking for Staff for the start November until end of January 2023 Must be in New Zealand to apply. If you can help us please contact Jo
223,Tree Training and Pruning Required $23 - 28/HOUR,446,Hortinvest Management Ltd,"Wanaka, New Zealand",2022-07-24,Other,Need Staff Now,7,2022-07-25,2022-09-02,23.00,,"Hortinvest Management Ltd is a horticultural management company based in the Central Otago region. We are developing and managing 245 hectares of Summerfruit Orchards (cherry and apricot) from Cromwell to Tarras, producing premium fruit for international markets. Our Purpose: Something Extraordinary Everyone Aspires To. Our Values:    Good Place To Be, Keep It Real, Grow the Future. […]"
224,Grape Vine Nursery,582,Elite Viticulture Ltd,"Whakarewa Street, Motueka, New Zealand",2022-07-23,Winegrowing,Need Staff Soon,20,2022-10-17,2023-02-10,$22.75 + 8% holiday pay,eyI2NTYzMTA2ODU5IjoiQXJlIHlvdSBhYmxlIHRvIHdvcmsgNDBocnMgcGVyIHdlZWs/In0=,"Located in Motueka, the top of the South Island and gateway to the beautiful Abel Tasman National Park. We are looking for fixed-term workers starting approx 17th Oct through until the middle of February 2023 to help in our grape vine nursery, 8am – 4.30pm Monday to Friday. You will be training rootstock, growing on […]"
225,Horticultural Harvesters/Packers,608,The Fresh Grower,"229 Tuakau Road, Pukekohe, New Zealand",2022-07-22,Vegetables,Need Staff Now,12,2022-07-22,2023-01-31,$21.20 (depending on experience),,"We are looking for entry level horticultural team members. You do not need any prior experience as all training will be provided on site. Job involves field harvesting, washing, grading and packing fresh vegetables. This is a fixed term seasonal role, Monday to Saturday, 6:30am to 5:00pm. Due to the seasonal nature of the job, […]"
226,Packing and Grading Work,556,Farmhands,"Rakaia, New Zealand",2022-07-22,Other,Need Staff Now,8,2022-07-22,2022-08-19,$21.20 + 8%,,Looking for stable shift work? Work inside our packing shed No experience required! Apply today and start work ASAP! Apply here: https://forms.gle/2RTFoiJe7BNTWxzu9  You will grade and pack lily bulbs. Work on conveyor belts. Work is based in Rakaia Day and Afternoon shifts: Day: 6am – 3pm Afternoon: 3pm – 11pm Mon – Fri (some Saturday […]
227,Orchard Work – Otago,955,Cherri,"Otago, New Zealand",2022-07-20,Stonefruit (including Cherries),Need Staff Soon,20,2022-07-21,2023-01-31,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters, End of season bonuses, Social club / staff events",We’ve got plenty of work for you all year round. Cherri Global is a dynamic and innovative company with existing cherry orchards and large-scale developments in progress. We have a variety of positions available on our orchards in Central Otago at different times of the year. Year round we require staff to assist with general […]
228,Orchard Work - Hawke's Bay,544,Cherri,"Hawke's Bay, New Zealand",2022-07-20,Stonefruit (including Cherries),Need Staff Soon,10,2022-07-21,2023-01-31,$21.20,"Bucket/bin rate bonuses, Flexi rosters, End of season bonuses",We’ve got plenty of work for you all year round. Cherri Global is a dynamic and innovative company with existing cherry orchards and large-scale developments in progress. We have a variety of positions available on our orchards in sunny Hawke’s Bay at different times of the year. Year round we require staff to assist with […]
229,EXPERIENCED KIWIFRUIT WORKERS WANTED,291,PlanitStaff,"Napier, New Zealand",2022-07-20,Kiwifruit,Need Staff Now,10,2022-07-20,2023-07-20,22,,"🥝🥝Kiwifruit orchard work available🥝🥝 We’re looking for experienced stringers and pruners 7 am – 5 pm, 5 days a week weather permitting (weekend work available if you want) Hawke’s Bay, Napier and Hastings areas Immediate start Hourly rate dependent on experience You will need to commit to a full work week and have your own […]"
230,Field Harvest Workers,517,Balle Bros Growers Limited,"Tuakau, New Zealand",2022-07-20,Other,Need Staff Now,10,2022-08-01,2023-05-01,$21.20 plus,,"Balle Bros is now recruiting for field harvest workers.  We are looking for people to work in our field harvest teams. Monday – Friday, and some Saturdays. 6.30am – 6.00pm Hand or machine harvest depending on crop. Select and cut produce  "
231,Port Inspectors - Expression of Interest,205,AsureQuality,"Nationwide, New Zealand",2022-07-19,Other,Expressions of Interest,1,2022-07-25,2023-03-31,$23.50 upwards p/hr,,Competitive Hourly Rate + Tools of Trade Vehicle + Senior Biosecurity Casual roles + Work/Life Balance + New Zealand wide options Full Training + Development Opportunity + Inspection   The Opportunity:  AsureQuality has roles based around a variety of Port locations in New Zealand for Senior Log Assessors.   This is an Expression of Interest […]
232,Kiwifruit Orchard - Winter Pruning,472,Punchbowl Kiwifruit Services,"Patumahoe, New Zealand",2022-07-18,Kiwifruit,Need Staff Now,20,2022-07-18,2022-09-26,$22.75,Bucket/bin rate bonuses,"Are you physically fit and enjoy working outdoors? We are looking for people to join our winter pruning team. There is plenty of work available, starting from now.   ABOUT THE JOB: Working as part of the team you will be assisting the Orchard Manager with winter pruning – one of the most crucial steps […]"
233,Vegetable harvesting/planting,507,Solar Produce,"Palmerston North, New Zealand",2022-07-17,Vegetables,Need Staff Now,5,2022-07-18,2023-07-17,$21.50 plus generous bonuses,Transport,"Do you love the outdoors? Want to work for a family owned multicultural business? Want to learn new skills and be rewarded for it? We are on the search for top notch, reliable and hard working individuals who want to work in an environment that pays well, recognizes potential and current skills, provides training and […]"
234,Blueberry Pickers,1581,South Pacific Berries,"Pukenui, New Zealand",2022-06-13,Berries,Need Staff Now,70,2022-10-03,2022-11-18,Piece Rate (minimum $21.20/hr),"Bucket/bin rate bonuses, Flexi rosters, End of season bonuses","Blueberry Pickers positions open now! We are looking for keen pickers to join our picking crew for the coming season which runs from August to November. Work is in covered tunnel house enclosures so weather has little effect on work availability. You are paid by what you pick, the more you pick the more you […]"
